COD_PERFIL;UCS_F;FASES;CLIMA_AMBIENTAL;DISTRIBUCION_LLUVIAS;PORC_PENDIENTE;GRADO_EROSION;DRENAJE_NATURAL;FRECUENCIA_INUNDACION;H1_VOLUMEN_POR_CFR_1;PORC_PEDREGOSIDAD_SUPERFICIAL_CUBIERTA;PROFUNDIDAD_EFECTIVA;H1_CLASE_ESTRUCTURA_1;FERTILIDAD;CE_(dS_m);"PORC_SAT_SODIO
SALINIDAD_PSI ";PORC_SAI;PORC_CARBONO ORGANICO
SN-004;AR02d;d;21;Monomodal;12-25;Moderado;Bien drenado;;N/A;N/A;25 - 50;Fina;Muy baja;0;0;31.25;16
SN-004;AR02dw;dw;21;Monomodal;12-25;Moderado;Bien drenado;;N/A;N/A;25 - 50;Fina;Muy baja;0;0;31.25;16
SN-004;AR02e;e;21;Monomodal;25-50;Moderado;Bien drenado;;N/A;N/A;25 - 50;Fina;Muy baja;0;0;31.25;16
SN-004;AR02ew;ew;21;Monomodal;25-50;Moderado;Bien drenado;;N/A;N/A;25 - 50;Fina;Muy baja;0;0;31.25;16
SN-004;AR02f;f;21;Monomodal;50-75;Moderado;Bien drenado;;N/A;N/A;25 - 50;Fina;Muy baja;0;0;31.25;16
SN-004;AR02fw;fw;21;Monomodal;50-75;Moderado;Bien drenado;;N/A;N/A;25 - 50;Fina;Muy baja;0;0;31.25;16
SN-004;AR02g;g;21;Monomodal;>75;Moderado;Bien drenado;;N/A;N/A;25 - 50;Fina;Muy baja;0;0;31.25;16
SN-004;AR02gw;gw;21;Monomodal;>75;Moderado;Bien drenado;;N/A;N/A;25 - 50;Fina;Muy baja;0;0;31.25;16
SN-126;AR03e;e;18;Bimodal;25-50;N/A;Excesivo;;25;N/A;<25;Fina y media;Muy baja;0;0;47.5;27
SN-126;AR03f;f;18;Bimodal;50-75;N/A;Excesivo;;25;N/A;<25;Fina y media;Muy baja;0;0;47.5;27
SN-126;AR03g;g;18;Bimodal;>75;N/A;Excesivo;;25;N/A;<25;Fina y media;Muy baja;0;0;47.5;27
47S214;LWE01b;b;3;Monomodal o Bimodal;3-7;Ligero;Bien drenado;;35;3 - 15;25 - 50;N/A;Muy baja;0;0;0;0.66
47S214;LWE01c;c;3;Monomodal o Bimodal;7-12;Ligero;Bien drenado;;35;3 - 15;25 - 50;N/A;Muy baja;0;0;0;0.66
47S214;LWE01d;d;3;Monomodal o Bimodal;12-25;Ligero;Bien drenado;;35;3 - 15;25 - 50;N/A;Muy baja;0;0;0;0.66
47S214;LWE01dp;dp;3;Monomodal o Bimodal;12-25;Ligero;Bien drenado;;35;>15%;25 - 50;N/A;Muy baja;0;0;0;0.66
47S214;LWE01ep;ep;3;Monomodal o Bimodal;25-50;Ligero;Bien drenado;;35;>15%;25 - 50;N/A;Muy baja;0;0;0;0.66
47S210;LWE02b;b;3;Monomodal o Bimodal;3-7;Ligero;Moderadamente excesivo;;20;3 - 15;25 - 50;N/A;Baja;0;0;43.01;0.39
47S210;LWE02c;c;3;Monomodal o Bimodal;7-12;Ligero;Moderadamente excesivo;;20;3 - 15;25 - 50;N/A;Baja;0;0;43.01;0.39
47S210;LWE02d;d;3;Monomodal o Bimodal;12-25;Ligero;Moderadamente excesivo;;20;3 - 15;25 - 50;N/A;Baja;0;0;43.01;0.39
47S210;LWE02dp;dp;3;Monomodal o Bimodal;12-25;Ligero;Moderadamente excesivo;;20;>15%;25 - 50;N/A;Baja;0;0;43.01;0.39
47S210;LWE02e;e;3;Monomodal o Bimodal;25-50;Ligero;Moderadamente excesivo;;20;3 - 15;25 - 50;N/A;Baja;0;0;43.01;0.39
MG-079;LWE03a;a;3;Monomodal o Bimodal;0-3;N/A;Bien drenado;;35;N/A;<25;N/A;Media;0;0;0;49.4
MG-079;LWE03b;b;3;Monomodal o Bimodal;3-7;N/A;Bien drenado;;35;N/A;<25;N/A;Media;0;0;0;49.4
SMG-090;LWI03b;b;3;Monomodal o Bimodal;3-7;Ligero;Excesivamente drenado;;5;N/A;100 - 150;Fina y media;Baja;0;0;0;2.5
