COD_PERFIL	DEPARTAMENTO	MUNICIPIO	CLIMA_AMBIENTAL	DISTRIBUCION_LLUVIAS	PORC_PENDIENTE	GRADO_EROSION	DRENAJE_NATURAL	FRECUENCIA_INUNDACION	H1_VOLUMEN_POR_CFR_1	PORC_PEDREGOSIDAD_SUPERFICIAL_CUBIERTA	PROFUNDIDAD_EFECTIVA	H1_CLASE_ESTRUCTURA_1	FERTILIDAD	CE_(dS_m)	"PORC_SAT_SODIO
SALINIDAD_PSI "	PORC_SAI	PORC_CARBONO ORGANICO
43	Cesar	Valledupar	15	Bimodal	3 - 7	N/A	Bien drenado	N/A	0	N/A	>150	Fina	#N/A	#N/A	#N/A	#N/A	#N/A
44	Cesar	Valledupar	15	Bimodal	3 - 7	Moderado	Moderado	N/A	0	N/A	>150	Media	#N/A	#N/A	#N/A	#N/A	#N/A
20S294	Cesar	La Paz	9	Monomodal o Bimodal	1 - 3	N/A	Bien drenado	Frecuente	0	15 - 50	<25	Fina	Muy baja	0	0	0	19,33
20S393	Cesar	Chiriguan‡	3	Monomodal o Bimodal	3 - 7	N/A	Bien drenado	N/A	35	50 - 90	75 - 100	Fina y media	Media	0	0	0	2,11
20S395	Cesar	Chiriguan‡	3	Monomodal o Bimodal	1 - 3	N/A	Bien drenado	N/A	10	3 - 15	25 - 50	Fina	Baja	0	0	0	0,01
47S060	Magdalena	Pivijay	3	Monomodal o Bimodal	1 - 3	N/A	Bien drenado	Ocasional	N/A	<0.1	100 - 150	Fina y media	Media	0	0	0	25,15
47S061	Magdalena	Pivijay	3	Monomodal o Bimodal	1 - 3	N/A	Pobre	Ocasional	N/A	<0.1	<25	Fina y media	Media	0	6,98	0	5,76
47S071	Magdalena	Plato	3	Monomodal o Bimodal	7 - 12	Ligero	Bien drenado	N/A	Sin dato	<0.1	100 - 150	Fina y media	Media	0	0	0	17,38
47S075	Magdalena	Nueva Granada	3	Monomodal o Bimodal	1 - 3	N/A	Bien drenado	Rara	N/A	<0.1	100 - 150	Fina y media	Media	0	0	0	10,98
47S084	Magdalena	Sabanas de San çngel	3	Monomodal o Bimodal	1 - 3	N/A	Bien drenado	Frecuente	N/A	<0.1	100 - 150	Fina y media	Media	0	0	0	28,37
47S087	Magdalena	Pivijay	3	Monomodal o Bimodal	1 - 3	N/A	Muy pobre	N/A	N/A	<0.1	<25	Fina y media	Media	0,32	0	1,2	0,71
47S092	Magdalena	Sabanas de San çngel	3	Monomodal o Bimodal	1 - 3	N/A	Bien drenado	Ocasional	N/A	<0.1	100 - 150	Fina y media	Media	0	0	0	29,45
47S097	Magdalena	Plato	3	Monomodal o Bimodal	1 - 3	N/A	Bien drenado	Ocasional	N/A	<0.1	100 - 150	Media y gruesa	Media	0	0	0	106
47S101	Magdalena	Chivolo	3	Monomodal o Bimodal	1 - 3	N/A	Bien drenado	Frecuente	N/A	<0.1	25 - 50	Fina y media	Media	0	0	0	41,9
47S102	Magdalena	Nueva Granada	3	Monomodal o Bimodal	7 - 12	Ligero	Bien drenado	N/A	N/A	15 - 50	50 - 75	N/A	Muy baja	0	0	0	5,5
47S106	Magdalena	Sabanas de San çngel	3	Monomodal o Bimodal	0 - 1	N/A	Muy pobre	N/A	N/A	<0.1	<25	Gruesa	Media	0	16,45	3,44097406	18,5
47S108	Magdalena	Plato	3	Monomodal o Bimodal	1 - 3	N/A	Bien drenado	Frecuente	N/A	<0.1	100 - 150	Media y gruesa	Alta	0	0	0	37,1
47S109	Magdalena	Sabanas de San çngel	3	Monomodal o Bimodal	1 - 3	N/A	Muy pobre	N/A	N/A	<0.1	<25	Fina y media	Media	0	0	0	7,6
47S111	Magdalena	Plato	3	Monomodal o Bimodal	7 - 12	N/A	Bien drenado	N/A	N/A	3 - 15	25 - 50	Media	Media	0,17	0	0	6,4
47S114	Magdalena	Nueva Granada	3	Monomodal o Bimodal	1 - 3	N/A	Pobre	Frecuente	N/A	<0.1	25 - 50	Fina y media	Alta	0	0	0	54,4
47S120	Magdalena	Sabanas de San çngel	3	Monomodal o Bimodal	1 - 3	Ligero	Bien drenado	N/A	N/A	<0.1	25 - 50	Fina y media	Baja	0,9707	0	0	10,5
47S121	Magdalena	Sabanas de San çngel	3	Monomodal o Bimodal	1 - 3	N/A	Bien drenado	Frecuente	N/A	<0.1	100 - 150	Fina y media	Media	0	0	0	69,6
47S130	Magdalena	Chivolo	3	Monomodal o Bimodal	3 - 7	N/A	Bien drenado	N/A	N/A	<0.1	25 - 50	Fina y media	Alta	0	0	0	17,8
47S131	Magdalena	Chivolo	3	Monomodal o Bimodal	3 - 7	N/A	Bien drenado	N/A	N/A	<0.1	<25	Media y gruesa	Media	0	0	0	6,6
47S133	Magdalena	Plato	3	Monomodal o Bimodal	1 - 3	N/A	Pobre	Frecuente	N/A	<0.1	25 - 50	Fina y media	Media	0	0	0	16,3
47S140	Magdalena	Ariguan’	3	Monomodal o Bimodal	1 - 3	N/A	Muy pobre	N/A	N/A	<0.1	<25	Fina	Media	0	0	0	13,13
47S142	Magdalena	Plato	3	Monomodal o Bimodal	1 - 3	N/A	Bien drenado	Ocasional	N/A	N/A	100 - 150	Media	Media	0	0	0,358422939	83,3
47S143	Magdalena	Plato	3	Monomodal o Bimodal	1 - 3	N/A	Pobre	Ocasional	N/A	N/A	<25	Fina y media	Media	0	19,2	0	22,7
47S151	Magdalena	Ariguan’	3	Monomodal o Bimodal	1 - 3	N/A	Muy pobre	N/A	N/A	<0.1	<25	Media	Alta	0	0	7,57	22,7
47S153	Magdalena	Sabanas de San çngel	3	Monomodal o Bimodal	1 - 3	N/A	Bien drenado	N/A	N/A	<0.1	50 - 75	Media y gruesa	Media	0	0	0	5,19
