Codigo Perfil;Paisaje;Tipo de Relieve;Forma del Terreno;Taxonomia;Uso actual;Cultivos, pastos o especies forestales;UCS;Pantanos, Cienagas;Tipo UCS;Fases;Pendiente;"Erosion
(Grado)";"Remosion en masa
(area afectada %)";Drenaje natural;"Inundaciones/Encharcamientos
(Frecuencia)";"Inundaciones/Encharcamientos
(Duracion)";Profundidad efectiva (cm);Clases tamano particulas;Fragmentos roca (% por Vol.) ;Pedregosidad en superficie (%);Afloramientos rocosos (%);Fertilidad;"Salinidad
(% area afectada)";Sales y sodio;Relacion Ca/Mg;Saturacion Al (%);Distribucion de lluvias;Piso termico;Condicion de humedad;T° Heladas
N-21;Montana;Filas y Vigas;Ladera;Typic Hapludands, medial sobre esquletica-franca, isomesica;Forestal;Bosque intervenido;MLB;NO;Consociacion;dw;d;No hay;No hay;Excesivo;No hay;No hay;75 - 100;Franca-fina;15 - 35;<0,1;<0,1;Media;No hay;No hay;Normal;0 - 30;4;Frio;Pluvial;No hay
N-21;Montana;Filas y Vigas;Ladera;Typic Hapludands, medial sobre esquletica-franca, isomesica;Forestal;Bosque intervenido;MLB;NO;Consociacion;e;e;No hay;No hay;Excesivo;No hay;No hay;75 - 100;Franca-fina;15 - 35;<0,1;<0,1;Media;No hay;No hay;Normal;0 - 30;1;Frio;Muy Humedo;No hay
N-21;Montana;Filas y Vigas;Ladera;Typic Hapludands, medial sobre esquletica-franca, isomesica;Forestal;Bosque intervenido;MLB;NO;Consociacion;ew;e;No hay;No hay;Excesivo;No hay;No hay;75 - 100;Franca-fina;15 - 35;<0,1;<0,1;Media;No hay;No hay;Normal;0 - 30;4;Frio;Pluvial;No hay
N-21;Montana;Filas y Vigas;Ladera;Typic Hapludands, medial sobre esquletica-franca, isomesica;Forestal;Bosque intervenido;MLB;NO;Consociacion;f;f;No hay;No hay;Excesivo;No hay;No hay;75 - 100;Franca-fina;15 - 35;<0,1;<0,1;Media;No hay;No hay;Normal;0 - 30;1;Frio;Muy Humedo;No hay
N-21;Montana;Filas y Vigas;Ladera;Typic Hapludands, medial sobre esquletica-franca, isomesica;Forestal;Bosque intervenido;MLB;NO;Consociacion;fw;f;No hay;No hay;Excesivo;No hay;No hay;75 - 100;Franca-fina;15 - 35;<0,1;<0,1;Media;No hay;No hay;Normal;0 - 30;4;Frio;Pluvial;No hay
N-49;Montana;Filas y Vigas;Ladera;Acrudoxic Hapludands, medial, isotermica;Ganaderia;Pastos no manejados;MQC;NO;Consociacion;dw;d;No hay;No hay;Bien drenado;No hay;No hay;>100;Franca-fina;<3;<0,1;<0,1;Media;No hay;No hay;Normal;0 - 30;4;Templado;Pluvial;No hay
N-49;Montana;Filas y Vigas;Ladera;Acrudoxic Hapludands, medial, isotermica;Ganaderia;Pastos no manejados;MQC;NO;Consociacion;e;e;No hay;No hay;Bien drenado;No hay;No hay;>100;Franca-fina;<3;<0,1;<0,1;Media;No hay;No hay;Normal;0 - 30;1;Templado;Muy Humedo;No hay
N-49;Montana;Filas y Vigas;Ladera;Acrudoxic Hapludands, medial, isotermica;Ganaderia;Pastos no manejados;MQC;NO;Consociacion;ew;e;No hay;No hay;Bien drenado;No hay;No hay;>100;Franca-fina;<3;<0,1;<0,1;Media;No hay;No hay;Normal;0 - 30;4;Templado;Pluvial;No hay
N-49;Montana;Filas y Vigas;Ladera;Acrudoxic Hapludands, medial, isotermica;Ganaderia;Pastos no manejados;MQC;NO;Consociacion;fw;f;No hay;No hay;Bien drenado;No hay;No hay;>100;Franca-fina;<3;<0,1;<0,1;Media;No hay;No hay;Normal;0 - 30;4;Templado;Pluvial;No hay
N-49;Montana;Filas y Vigas;Ladera;Acrudoxic Hapludands, medial, isotermica;Ganaderia;Pastos no manejados;MQC;NO;Consociacion;gw;g;No hay;No hay;Bien drenado;No hay;No hay;>100;Franca-fina;<3;<0,1;<0,1;Media;No hay;No hay;Normal;0 - 30;4;Templado;Pluvial;No hay
N-48;Montana;Filas y Vigas;Ladera;Alic Hapludands, medial sobre esqueletica-franca, isotermica;Ganaderia;Pastos no manejados;MQC;NO;Consociacion;d;d;No hay;No hay;Bien drenado;No hay;No hay;>100;Franca-fina;15 - 35;<0,1;<0,1;Baja;No hay;No hay;"Estrecha <50cm; Invertida >50cm";60 - 90;1;Templado;Muy Humedo;No hay
N-48;Montana;Filas y Vigas;Ladera;Alic Hapludands, medial sobre esqueletica-franca, isotermica;Ganaderia;Pastos no manejados;MQC;NO;Consociacion;dw;d;No hay;No hay;Bien drenado;No hay;No hay;>100;Franca-fina;15 - 35;<0,1;<0,1;Baja;No hay;No hay;"Estrecha <50cm; Invertida >50cm";60 - 90;4;Templado;Pluvial;No hay
N-48;Montana;Filas y Vigas;Ladera;Alic Hapludands, medial sobre esqueletica-franca, isotermica;Ganaderia;Pastos no manejados;MQC;NO;Consociacion;e;e;No hay;No hay;Bien drenado;No hay;No hay;>100;Franca-fina;15 - 35;<0,1;<0,1;Baja;No hay;No hay;"Estrecha <50cm; Invertida >50cm";60 - 90;1;Templado;Muy Humedo;No hay
N-48;Montana;Filas y Vigas;Ladera;Alic Hapludands, medial sobre esqueletica-franca, isotermica;Ganaderia;Pastos no manejados;MQC;NO;Consociacion;ew;e;No hay;No hay;Bien drenado;No hay;No hay;>100;Franca-fina;15 - 35;<0,1;<0,1;Baja;No hay;No hay;"Estrecha <50cm; Invertida >50cm";60 - 90;4;Templado;Pluvial;No hay
N-48;Montana;Filas y Vigas;Ladera;Alic Hapludands, medial sobre esqueletica-franca, isotermica;Ganaderia;Pastos no manejados;MQC;NO;Consociacion;f;f;No hay;No hay;Bien drenado;No hay;No hay;>100;Franca-fina;15 - 35;<0,1;<0,1;Baja;No hay;No hay;"Estrecha <50cm; Invertida >50cm";60 - 90;1;Templado;Muy Humedo;No hay
